country,cases,death,region
 Kyrgyzstan ," 206,897 "," 2,991 ", Asia 
 Guadeloupe ," 203,235 "," 1,021 ", North America 
 El Salvador ," 201,855 "," 4,230 ", North America 
 Trinidad and Tobago ," 191,496 "," 4,390 ", North America 
 Maldives ," 186,694 ", 316 , Asia 
 Namibia ," 172,389 "," 4,106 ", Africa 
 Uganda ," 172,149 "," 3,632 ", Africa 
 Ghana ," 171,889 "," 1,462 ", Africa 
 Jamaica ," 156,869 "," 3,756 ", North America 
 Cambodia ," 139,103 "," 3,056 ", Asia 
 Rwanda ," 133,518 "," 1,468 ", Africa 
 Cameroon ," 125,379 "," 1,974 ", Africa 
 Malta ," 121,420 ", 885 , Europe 
 Barbados ," 110,578 ", 648 , North America 
 Angola ," 107,327 "," 1,937 ", Africa 
 Channel Islands ," 101,717 ", 228 , Europe 
 DR Congo ," 99,338 "," 1,468 ", Africa 
 French Guiana ," 98,041 ", 420 , South America 
 Malawi ," 89,535 "," 2,686 ", Africa 
 Senegal ," 89,053 "," 1,971 ", Africa 
 Côte d'Ivoire ," 88,384 ", 835 , Africa 
 Suriname ," 82,588 "," 1,408 ", South America 
 New Caledonia ," 80,064 ", 314 , Australia/Oceania 
 French Polynesia ," 79,254 ", 650 , Australia/Oceania 
 Eswatini ," 75,191 "," 1,427 ", Africa 
 Guyana ," 74,137 "," 1,300 ", South America 
 Belize ," 71,409 ", 688 , North America 
 Fiji ," 69,117 ", 885 , Australia/Oceania 
 Madagascar ," 68,486 "," 1,426 ", Africa 
 Cabo Verde ," 64,477 ", 417 , Africa 
 Sudan ," 63,993 "," 5,046 ", Africa 
 Mauritania ," 63,848 ", 997 , Africa 
 Bhutan ," 62,697 ", 21 , Asia 
 Syria ," 57,743 "," 3,165 ", Asia 
 Burundi ," 54,721 ", 38 , Africa 
 Seychelles ," 51,220 ", 172 , Africa 
 Gabon ," 49,051 ", 307 , Africa 
 Andorra ," 48,015 ", 165 , Europe 
 Papua New Guinea ," 46,864 ", 670 , Australia/Oceania 
 Curaçao ," 45,986 ", 295 , North America 
 Aruba ," 44,224 ", 292 , North America 
 Tanzania ," 43,223 ", 846 , Africa 
 Mauritius ," 43,025 "," 1,051 ", Africa 
 Mayotte ," 42,027 ", 188 , Africa 
 Togo ," 39,572 ", 290 , Africa 
 Guinea ," 38,572 ", 468 , Africa 
 Bahamas ," 38,084 ", 844 , North America 
 Isle of Man ," 38,008 ", 116 , Europe 
 Lesotho ," 36,138 ", 723 , Africa 
 Haiti ," 34,667 ", 860 , North America 
 Faeroe Islands ," 34,658 ", 28 , Europe 
 Mali ," 33,164 ", 743 , Africa 
 Cayman Islands ," 31,472 ", 37 , North America 
 Saint Lucia ," 30,215 ", 410 , North America 
 Benin ," 28,036 ", 163 , Africa 
 Macao ," 27,673 ", 123 , Asia 
 Somalia ," 27,334 "," 1,361 ", Africa 
 Micronesia ," 26,547 ", 65 , Australia/Oceania 
 San Marino ," 26,185 ", 128 , Europe 
 Solomon Islands ," 25,954 ", 199 , Australia/Oceania 
 Congo ," 25,375 ", 386 , Africa 
 Timor-Leste ," 23,460 ", 138 , Asia 
 Burkina Faso ," 22,114 ", 400 , Africa 
 Liechtenstein ," 21,574 ", 94 , Europe 
 Gibraltar ," 20,550 ", 113 , Europe 
 Grenada ," 19,693 ", 238 , North America 
 Bermuda ," 18,860 ", 165 , North America 
 South Sudan ," 18,819 ", 147 , Africa 
 Nicaragua ," 18,491 ", 225 , North America 
 Tajikistan ," 17,786 ", 125 , Asia 
 Equatorial Guinea ," 17,229 ", 183 , Africa 
 Monaco ," 17,181 ", 67 , Europe 
 Samoa ," 17,006 ", 31 , Australia/Oceania 
 Tonga ," 16,950 ", 13 , Australia/Oceania 
 Marshall Islands ," 16,138 ", 17 , Australia/Oceania 
 Dominica ," 16,038 ", 74 , North America 
 Djibouti ," 15,690 ", 189 , Africa 
 Central African Republic ," 15,440 ", 113 , Africa 
 Gambia ," 12,626 ", 372 , Africa 
