country,cases,death,region,moralityrate
 El Salvador ,201855,4230, North America ,4771.985815602837
 Trinidad and Tobago ,191496,4390, North America ,4362.095671981777
 Maldives ,186694,316, Asia ,59080.379746835446
 Namibia ,172389,4106, Africa ,4198.465660009741
 Uganda ,172149,3632, Africa ,4739.785242290749
 Ghana ,171889,1462, Africa ,11757.113543091655
 Jamaica ,156869,3756, North America ,4176.4909478168265
 Cambodia ,139103,3056, Asia ,4551.7997382198955
 Rwanda ,133518,1468, Africa ,9095.231607629428
 Cameroon ,125379,1974, Africa ,6351.519756838906
 Malta ,121420,885, Europe ,13719.774011299436
 Barbados ,110578,648, North America ,17064.506172839505
 Angola ,107327,1937, Africa ,5540.887971089313
 Channel Islands ,101717,228, Europe ,44612.71929824562
 DR Congo ,99338,1468, Africa ,6766.8937329700275
 French Guiana ,98041,420, South America ,23343.09523809524
 Malawi ,89535,2686, Africa ,3333.395383469843
 Senegal ,89053,1971, Africa ,4518.163368848301
 Côte d'Ivoire ,88384,835, Africa ,10584.910179640718
 Suriname ,82588,1408, South America ,5865.625
 New Caledonia ,80064,314, Australia/Oceania ,25498.089171974523
 French Polynesia ,79254,650, Australia/Oceania ,12192.923076923076
 Eswatini ,75191,1427, Africa ,5269.16608269096
 Guyana ,74137,1300, South America ,5702.846153846153
 Belize ,71409,688, North America ,10379.21511627907
 Fiji ,69117,885, Australia/Oceania ,7809.830508474576
 Madagascar ,68486,1426, Africa ,4802.6647966339415
 Cabo Verde ,64477,417, Africa ,15462.110311750599
 Sudan ,63993,5046, Africa ,1268.1926278240192
 Mauritania ,63848,997, Africa ,6404.012036108325
 Bhutan ,62697,21, Asia ,298557.14285714284
 Syria ,57743,3165, Asia ,1824.4233807266983
 Burundi ,54721,38, Africa ,144002.6315789474
 Seychelles ,51220,172, Africa ,29779.06976744186
 Gabon ,49051,307, Africa ,15977.524429967425
 Andorra ,48015,165, Europe ,29100.0
 Papua New Guinea ,46864,670, Australia/Oceania ,6994.626865671641
 Curaçao ,45986,295, North America ,15588.474576271186
 Aruba ,44224,292, North America ,15145.205479452054
 Tanzania ,43223,846, Africa ,5109.101654846336
 Mauritius ,43025,1051, Africa ,4093.72026641294
 Mayotte ,42027,188, Africa ,22354.787234042553
 Togo ,39572,290, Africa ,13645.51724137931
 Guinea ,38572,468, Africa ,8241.880341880342
 Bahamas ,38084,844, North America ,4512.322274881517
 Isle of Man ,38008,116, Europe ,32765.517241379308
 Lesotho ,36138,723, Africa ,4998.340248962656
 Haiti ,34667,860, North America ,4031.046511627907
 Faeroe Islands ,34658,28, Europe ,123778.57142857142
 Mali ,33164,743, Africa ,4463.526244952894
 Cayman Islands ,31472,37, North America ,85059.45945945945
 Saint Lucia ,30215,410, North America ,7369.512195121951
 Benin ,28036,163, Africa ,17200.0
 Macao ,27673,123, Asia ,22498.373983739835
 Somalia ,27334,1361, Africa ,2008.3761939750182
 Micronesia ,26547,65, Australia/Oceania ,40841.53846153846
 San Marino ,26185,128, Europe ,20457.03125
 Solomon Islands ,25954,199, Australia/Oceania ,13042.211055276382
 Congo ,25375,386, Africa ,6573.834196891191
 Timor-Leste ,23460,138, Asia ,17000.0
 Burkina Faso ,22114,400, Africa ,5528.5
 Liechtenstein ,21574,94, Europe ,22951.063829787232
 Gibraltar ,20550,113, Europe ,18185.840707964602
 Grenada ,19693,238, North America ,8274.36974789916
 Bermuda ,18860,165, North America ,11430.30303030303
 South Sudan ,18819,147, Africa ,12802.040816326531
 Nicaragua ,18491,225, North America ,8218.222222222223
 Tajikistan ,17786,125, Asia ,14228.800000000001
 Equatorial Guinea ,17229,183, Africa ,9414.754098360656
 Monaco ,17181,67, Europe ,25643.283582089556
 Samoa ,17006,31, Australia/Oceania ,54858.06451612904
 Tonga ,16950,13, Australia/Oceania ,130384.61538461538
 Marshall Islands ,16138,17, Australia/Oceania ,94929.41176470587
 Dominica ,16038,74, North America ,21672.972972972973
 Djibouti ,15690,189, Africa ,8301.5873015873
